Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,39,38,37,25,26,31,29,25
pdiamond,18,20,26,24,8,7,14,22
heat_diffusion,8,15,12,28,3,8,9,8
