Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,37,33,33,22,25,24,26,18
pdiamond,18,23,28,25,11,12,16,28
heat_diffusion,10,17,14,30,5,10,10,9
