,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,1.0,0.9564247858908774,0.9265090372010728,0.8610835956418806
Lymphatic Metastasis,0.3034165961753089,0.3097500734996579,0.29956684086792024,0.2673923779360037
"Condition, Preneoplastic",0.0,0.0,0.0,0.0
Alzheimer's Disease,0.9470377552222292,0.9528707570346112,0.8947652237522882,0.8652716285772127
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.0
Female infertility,0.12647135138382856,0.17661467817048068,0.17661467817048068,0.17661467817048068
Single Seizure,0.0,0.0,0.0,0.0
"Hearing Loss, Extreme",0.0,0.0,0.0,0.0
Stomach Neoplasms,0.6688270533073591,0.657729045186355,0.5739990117818975,0.4533654653961566
Pneumonitis,0.3817188993614464,0.4461402263386843,0.4515477747382056,0.4197474775539217
Malignant neoplasm of prostate,1.0,1.0,0.9692314709468643,0.9067582526225672
Neuroblastoma,0.8781348414561045,0.8042109239671709,0.7648506100385738,0.6780711552946764
