,Top 50,Top 100,Top 200,Top N
precision,"(0.00392156862745098, 0.00784313725490196)","(0.00392156862745098, 0.00784313725490196)","(0.00392156862745098, 0.00784313725490196)","(0.00392156862745098, 0.00784313725490196)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.0007462686567164179, 0.0014925373134328358)"
f1,"(0.00396039603960396, 0.00792079207920792)","(0.002649006622516556, 0.005298013245033112)","(0.0015936254980079682, 0.0031872509960159364)","(0.0012539184952978055, 0.002507836990595611)"
ndcg,"(0.0029766273568185607, 0.0059532547136371215)","(0.0028604645753857196, 0.005720929150771439)","(0.0028604645753857196, 0.005720929150771439)","(0.0028604645753857196, 0.005720929150771439)"
