Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,43,40,41,29,13,16,22,19
pdiamond,24,29,36,44,9,10,16,29
draw,33,31,23,27,78,74,62,52
