Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,48,45,50,45,29,29,30,25
pdiamond,26,25,33,35,18,18,25,34
draw,26,30,17,20,53,53,45,41
