Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,7,5,5,3,6,7,3,2
pdiamond,2,2,2,3,0,1,1,5
draw,1,3,3,4,4,2,6,3
