,Top 25,Top 50,Top 100,Top 200
precision,0.03 +/- 0.023,0.025 +/- 0.017,0.018 +/- 0.009,0.016 +/- 0.007
recall,0.031 +/- 0.033,0.061 +/- 0.059,0.08 +/- 0.066,0.145 +/- 0.084
f1,0.022 +/- 0.021,0.025 +/- 0.02,0.023 +/- 0.013,0.024 +/- 0.011
ndcg,0.04 +/- 0.033,0.046 +/- 0.037,0.048 +/- 0.036,0.067 +/- 0.037
