,Top 25,Top 50,Top 100,Top 200
precision,0.092 +/- 0.045,0.065 +/- 0.028,0.04 +/- 0.015,0.025 +/- 0.01
recall,0.086 +/- 0.041,0.12 +/- 0.054,0.136 +/- 0.05,0.163 +/- 0.077
f1,0.077 +/- 0.036,0.072 +/- 0.031,0.052 +/- 0.019,0.038 +/- 0.015
ndcg,0.148 +/- 0.059,0.155 +/- 0.059,0.151 +/- 0.052,0.158 +/- 0.058
